cat,date,des,done,duration,grp,id,name,prj,tags
Operation,2023-03-07,,true,1h,MFVN,d4773e93-6694-4f76-bf78-be048db139b6,Alerio site,marketflow,
Operation,2022-12-05,,true,27m,MFVN,b80ad9fb-d3c8-4a71-bc67-ac00ab006cc9,ID Screen + Savings Vertical,marketflow,
Operation,2023-04-02,,true,11m,Personal,f466b0e4-47e0-4239-8e23-436db45b36e9,Management,Management,
Operation,2023-01-16,,true,14m,MFVN,0e074fc0-1505-41d8-8fa8-b5d31d351bdb,Helping Kami,Web dev,
Operation,2023-02-08,,true,23m,MFVN,df599136-f500-4b82-bd75-dd1dda97b6a7,Deploy funnel,marketflow,
Engineering,2022-1023-12,,true,0:20,Personal,a136c93a-2072-45be-9f02-a2c7d1f77d27,Vue router,marketflow,mf-learning
Operation,2023-01-30,,true,30m,MFVN,248d7903-53aa-4411-81e3-d4816df74d0c,Update UI desktop funnel,Engineering,
Operation,2023-03-30,,true,2m,Personal,5aa580b1-9da9-4144-8ec7-ad8c12797034,Management,Info-Processor,
Operation,2023-05-20,,true,3m,Personal,e21936bb-5fbd-4298-b089-05c05fbe717c,Navigation,Management,
Operation,2023-03-15,,true,2m,Personal,f49ef9fe-30bb-44df-819c-134e7e73d9f1,Management,Management,
Engineering,2023-04-12,,true,8m,Personal,8d872b56-0fd3-44c4-879f-2c8295453f92,JavaScript,Javascript,mf-learning
Engineering,2022-1023-16,,true,10m,Personal,ed098e02-b3fc-40c2-b0d3-b0d40fc73bab,Bootstrap vs Tailwind CSS,marketflow,mf-learning
Operation,2023-03-29,,true,29m,MFVN,07c6b901-6e23-49b5-a246-946ef4847a2c,Sync call,marketflow,mf-com
Operation,2023-03-28,,true,27m,Personal,60cf9445-5356-40de-bc91-4db67f133585,Cleanup notes,,
Operation,2023-03-13,,true,18m,MFVN,ca68ba74-ffb5-4c4b-9a1d-329e76f4fb64,Sync call,marketflow,mf-com
Operation,2023-01-12,,true,43m,MFVN,afc17f99-e732-4b85-97db-c30f35b72eb2,Funnel dev,mf-funnel,
Aesthetics,2022-12-09,,true,1:10,Personal,6830b6a8-ef93-4176-9d60-f9671d5e6e9a,Preppy style,marketflow,
Operation,2023-03-08,,true,8:30,Personal,6d04d5a5-618d-4caf-83a3-8adbf9443ce9,Management app,Management,mf-learning
Operation,2023-03-04,,true,5m,MFVN,cd41ce0a-fcb7-4d35-ada2-811158c08352,Work with Kami ,marketflow,
Operation,2023-05-26,,true,50m,MFVN,015c4651-8ff8-4ae5-a384-f1ac2d887e7f,Fix js call stack issue,mf-funnel,
Operation,2022-1023-04,,true,0:20,MFVN,cc6ce97c-8279-420c-8348-aa4256803cb9,Improve UI: Change time format,marketflow,
Operation,2022-1023-24,,true,35m,MFVN,5034fb84-a660-4245-bc7e-486dafc84f4f,Fix our retailers section,CC++,
Operation,2023-05-24,,true,10m,MFVN,97fc67af-b42b-4c41-a71f-0fa53f4f184f,Sync call,marketflow,mf-com; mf-time
Operation,2023-01-30,,true,1:55,MFVN,7af319a7-ae09-4493-a7ef-8ca8a8dc5d34,Onboard Hải,marketflow,
Operation,2023-01-31,,true,1h,Personal,434d8c7f-0225-412d-911d-adb5c5c98268,Management,mf-funnel,
Operation,2023-05-12,,true,28m,MFVN,e214e7c5-756c-4deb-aa51-003ded70cc45,Sync call,marketflow,mf-com
Operation,2023-02-21,,true,2h,MFVN,45546953-a646-4e4b-8915-5699cfff9187,Add Cancel pages,mf-websites,
Engineering,2022-1023-19,,true,30m,Personal,be43a185-67d8-4fe2-a53f-758253443619,Regex,Regex,mf-learning
Engineering,2023-03-06,,true,44m,Personal,2c728c6d-4da1-443d-baf6-a927c595a324,Phương pháp đọc 3-7 - thầy Ái Việt,Cosmic Engine,
Operation,2023-03-27,,true,1:25,MFVN,84dbcd19-8b38-41a4-8a32-b3b99233cd74,Risk Gateway RDR,mf-risk-gateway,
Operation,2023-02-07,,true,16m,MFVN,06736f92-cf04-431d-9a72-58cbe783ee08,Sync call,marketflow,mf-com
Aesthetics,2023-03-14,,true,1h,Personal,d6b97fbb-b92b-438f-b61a-852a0f14f2b3,Liebesfreud,Liebesfreud,
Operation,2023-01-29,,true,32m,Personal,f1bd44eb-e119-448c-9080-01217ca2229e,Update Management,marketflow,
Operation,2022-1023-23,,true,36m,MFVN,2e499b9c-32ae-4956-977c-6669ad36e868,Style My acount,marketflow,
Operation,2022-12-06,,true,36m,MFVN,ad191002-d1bc-4855-866f-6513f709c08c,Edit features,marketflow,
Operation,2023-04-18,,true,1h,Personal,c0df1cc2-68bb-48e3-9032-b33cc5ad7b55,Thế giới quan: Destructuring reality,Cosmic Engine,
Engineering,2023-01-31,,true,12m,Personal,2e5ec7d0-1e88-4395-a652-d8e6605c4c6b,Docker,mf-funnel,mf-learning
Operation,2023-03-27,,true,36m,MFVN,91dd357f-690e-4135-848b-ba6a6d3ce130,Sync call,marketflow,mf-com
Operation,2023-01-05,,true,35m,MFVN,d8c1e4f5-b06a-41a0-a18e-2c501977b12d,Risk Gateway - Add help page,mf-risk-gateway,
Operation,2022-12-27,,true,55m,MFVN,ad2d2e36-ff27-4751-9ddc-b6e26f1870ca,ID Screen vertical,mf-ids-vertical,
Operation,2023-03-20,,true,10m,Personal,3569e86e-3f51-497d-b4eb-b3f48fede0e4,Cleanup notes,,
Cosmic Engine,2023-04-08,,true,5m,Personal,bbcfb669-2f08-473c-8b96-ec8db883a2cd,Writing,Navigation,
Operation,2022-12-25,,true,1:40,MFVN,b3261897-ded9-4f8e-a081-f35fdcad0f39,ID Screen vertical,Vue,
Operation,2023-02-08,,true,10m,MFVN,b9d1e3b9-0f77-436c-9975-0b4ae0440c7a,Update funnel replication notion,marketflow,
Navigation,2023-03-21,,true,6m,Personal,45e8fcaf-adca-4893-816d-579dd66367fc,Pros and cons of living in Germany,Global citizen,
Operation,2022-11-25,,true,19m,MFVN,8cc352dc-0f39-4d2e-b874-9af5c672d648,ID Screen,marketflow,
Business,2023-02-21,,true,49m,Personal,105b88d6-a50a-4f2a-b285-2e48e68e6441,Hidden Champion,Business,
0.07083333333,Personal,,true, emails,,7447b6f3-afdc-44a9-8900-4414397e9c4b,Cleanup/organizing notes,Operation,2023-04-20
Operation,2022-12-08,,true,20m,MFVN,ed83d343-b776-43d7-ba18-e0ae2b503bf3,Make image for EOI login,marketflow,
Operation,2023-01-12,,true,8m,MFVN,c08a5650-f02a-4c14-8546-b97519978dc3,Add clarity,Vue,
Operation,2023-05-12,,true,14m,MFVN,138b402e-812d-487e-b3d0-153efbdf4222,Asana; Skype; ...,marketflow,
Engineering,2023-03-06,,true,1:30,Personal,8a164cff-bad5-4a82-8b41-3dfb1c4f6e3f,Nuxt,Nuxt,mf-learning
